analysis_type,group,sample_count,error_count,error_rate,balanced_accuracy,macro_f1,details
misclassified_sample,2023-0156-PAK,,1,,,,year=2023; true=Moderate; predicted=Low; type=Earthquake; region=Southern Asia; hdi=present; categories=known_categories
misclassified_sample,2023-0052-USA,,1,,,,year=2023; true=Moderate; predicted=Low; type=Extreme temperature; region=Northern America; hdi=present; categories=known_categories
misclassified_sample,2023-0078-MOZ,,1,,,,year=2023; true=Moderate; predicted=Low; type=Flood; region=Sub-Saharan Africa; hdi=present; categories=known_categories
misclassified_sample,2023-0113-GRC,,1,,,,year=2023; true=Moderate; predicted=Low; type=Rail; region=Southern Europe; hdi=present; categories=known_categories
misclassified_sample,2023-0094-PHL,,1,,,,year=2023; true=Moderate; predicted=Low; type=Flood; region=South-eastern Asia; hdi=present; categories=known_categories
misclassified_sample,2023-0122-USA,,1,,,,year=2023; true=Moderate; predicted=Low; type=Storm; region=Northern America; hdi=present; categories=known_categories
misclassified_sample,2023-0140-SSD,,1,,,,year=2023; true=Low; predicted=High; type=Epidemic; region=Sub-Saharan Africa; hdi=present; categories=known_categories
misclassified_sample,2023-0187-ETH,,1,,,,year=2023; true=Moderate; predicted=Low; type=Flood; region=Sub-Saharan Africa; hdi=present; categories=known_categories
misclassified_sample,2023-0530-MMR,,1,,,,year=2023; true=Moderate; predicted=High; type=Mass movement (wet); region=South-eastern Asia; hdi=present; categories=known_categories
misclassified_sample,2023-0234-IND,,1,,,,year=2023; true=Moderate; predicted=High; type=Extreme temperature; region=Southern Asia; hdi=present; categories=known_categories
